,r2,mae,mape,median_ae
24,0.6080764036251294,1424.6176941252158,1.5551200324675645e+18,440.64293619109327
48,0.63041375847428,1333.6344259959385,1.376315261394702e+18,335.2783094558545
72,0.635154056709913,1307.0134199759925,1.2802769321279386e+18,283.75256712581074
96,0.644692692106475,1287.8911009188917,1.2472158174953162e+18,252.8035104986809
120,0.6492501691210195,1269.542580329313,1.196078898688199e+18,264.67593182154303
144,0.6496108110696802,1257.551489331313,1.1684724692874488e+18,281.1550326918705
