,r2,mae,mape,median_ae
24,0.3051272365034202,1706.4470045394319,1.1181600956238789e+18,268.8164090983934
48,0.31101516255663075,1624.4235224661093,9.162560338181311e+17,156.48720616878785
72,0.30327324531105326,1615.1277195184634,8.390938582695214e+17,110.80798717388136
96,0.27678585453728777,1632.8334188834287,8.97118668390682e+17,93.56946703365445
120,0.3169988484500378,1568.9047973160627,8.192487445215777e+17,77.6597728710827
144,0.32467001222830727,1578.3923914608413,8.624773851924612e+17,65.65532393574014
