,r2,mae,mape,median_ae
24,0.5950643573714822,1555.6773623534884,2.3176225058365015e+18,719.9973914312395
48,0.6237925875474156,1417.9451962203245,1.9496294377272876e+18,508.4065436203655
72,0.6339781910540377,1361.2286897267045,1.7276115545523607e+18,392.14704444667314
96,0.64633169668517,1327.7862306292548,1.6527411965251502e+18,334.208562008474
120,0.6537766794546789,1300.843244261421,1.5826831797926246e+18,330.88353333363204
144,0.6552197677986866,1282.612489027232,1.5255669826527363e+18,349.9370021607324
