,r2,mae,mape,median_ae
24,0.5950643573714822,1555.6773623534884,2.3176225058365015e+18,719.9973914312395
48,0.6160442907944105,1428.9965104090327,2.035230318228258e+18,521.7665566881619
72,0.6222970034983099,1384.4316287765193,1.7087411835526362e+18,396.9054322545512
96,0.6141806594693844,1333.0255431634143,1.7083663472626998e+18,335.9064029059755
120,0.612645232572082,1351.7936055368145,1.627565797393376e+18,347.52244904721505
144,0.6114744621795891,1354.7422709457423,1.666041188145188e+18,378.726830174248
