,r2,mae,mape,median_ae
24,0.6080764036251294,1424.6176941252158,1.5551200324675645e+18,440.64293619109327
48,0.6227525283480967,1334.1318893498167,1.3820216696850624e+18,326.8125235398996
72,0.6228091272653387,1345.7901883276957,1.3636535586287199e+18,330.96693774355265
96,0.624665867344862,1279.252779074525,1.2843542862379643e+18,266.0487706470034
120,0.6021695152668514,1308.8039637389911,1.2266214350782794e+18,294.29533517992604
144,0.602236915688064,1322.2280258230028,1.2828707177005596e+18,324.4562917739945
