startTime,value
2015-08-23 11:17:47,88.0
2015-08-23 21:14:11,13.0
2015-08-23 21:48:50,26.0
2015-08-23 22:22:10,46.0
2015-08-23 22:24:33,61.0
2015-08-23 22:25:16,64.0
2015-08-23 22:43:38,155.0
2015-08-23 22:49:18,52.0
2015-08-23 22:54:38,32.0
2015-08-24 01:17:06,144.0
2015-08-24 03:16:51,20.0
2015-08-24 03:18:11,25.0
2015-08-24 03:20:23,100.0
2015-08-24 03:21:25,25.0
2015-08-24 04:13:26,54.0
2015-08-24 04:13:56,55.0
2015-08-24 07:16:36,55.0
2015-08-24 07:22:36,46.0
2015-08-24 08:00:18,172.0
2015-08-24 08:20:56,27.0
2015-08-24 08:21:56,72.0
2015-08-24 08:22:57,3.0
2015-08-24 08:24:18,28.0
2015-08-24 08:26:56,18.0
2015-08-24 08:38:41,36.0
2015-08-24 08:39:42,17.0
2015-08-24 09:03:40,44.0
2015-08-24 09:04:44,31.0
2015-08-24 09:10:37,17.0
2015-08-24 09:37:28,27.0
2015-08-24 10:35:47,37.0
2015-08-24 10:36:51,22.0
2015-08-24 10:38:45,59.0
2015-08-24 10:35:47,37.0
2015-08-24 10:36:51,22.0
2015-08-24 10:38:45,59.0
2015-08-24 21:35:22,121.0
2015-08-24 21:40:56,73.0
2015-08-24 21:56:17,53.0
2015-08-24 22:01:17,115.0
2015-08-24 22:09:44,36.0
2015-08-24 22:38:11,566.0
2015-08-24 22:43:14,183.0
2015-08-24 22:48:14,58.0
2015-08-25 02:38:13,68.0
2015-08-25 02:41:11,82.0
2015-08-25 04:46:52,20.0
2015-08-25 04:47:56,17.0
2015-08-25 04:52:35,18.0
2015-08-25 05:03:11,15.0
2015-08-25 05:04:51,44.0
2015-08-25 05:06:13,80.0
2015-08-25 05:41:19,112.0
