,precision,recall,f1-score,support
1,0.880,0.830,0.854,8653.000
2,0.127,0.208,0.158,737.000
3,0.100,0.111,0.105,512.000
4,0.097,0.079,0.087,342.000
5,0.187,0.202,0.195,499.000
accuracy,0.700,0.700,0.700,0.700
macro avg,0.278,0.286,0.280,10743.000
weighted avg,0.734,0.700,0.716,10743.000
