,r2,mae,mape,median_ae
24,0.37537099231750304,2626.3435453370503,2.9374713964510664e+18,823.6566969505287
48,0.38372021266083145,2533.0149991982157,2.802684005621985e+18,630.3494545211447
72,0.4042903822978161,2510.9005563961264,2.625888056450259e+18,558.8021024669034
96,0.3820498406859758,2453.999164939539,2.7321407170451937e+18,629.2258553941244
120,0.4025169150546285,2396.032148738196,2.4213648426940175e+18,709.5470635962338
