,r2,mae,mape,median_ae
24,0.34380795823087673,2891.198844453915,4.1820886650852337e+18,1548.290063774869
48,0.37067822226881075,2706.1178158274424,3.7056911020775444e+18,1277.7532651304468
72,0.3671532908278289,2663.2444455812843,3.2602510499452375e+18,1155.3515810987483
96,0.3649925907855637,2648.631531211532,3.6693898003099156e+18,1248.1943941971945
120,0.39631715852982696,2689.609767718054,3.7335707574732646e+18,1333.8446493791198
