,r2,mae,mape,median_ae
24,-0.3963735614846313,3733.253805204461,4.176204299213507e+18,1039.0
48,-0.34562926949633366,3472.1606237521933,3.6022439329865713e+18,784.0
72,-0.3570655083623844,3518.733915173787,3.8062974568615854e+18,589.0
96,-0.21298791573323705,3263.4420262896824,2.927037898217584e+18,541.5
120,-0.14562219410867439,3290.348071495767,3.2158963589390607e+18,577.5
