,r2,mae,mape,median_ae
24,0.32728709978645665,2306.367455561331,3.210954247175689e+18,1199.6213800839519
48,0.3494643101924291,2162.3527082356345,2.8908109758680146e+18,992.9207453046031
72,0.35969320765974233,2123.026522785964,2.7337817896683116e+18,970.4256562258515
96,0.3570315980562344,2103.1236683076077,2.839200766014425e+18,981.9525924526661
120,0.33822691699137064,2213.2869406300692,3.032217195496052e+18,1102.0992949780775
144,0.33157066977452976,2205.6290608986374,3.099691713472269e+18,1125.3420635766588
