,precision,recall,f1-score,support
1,0.884,0.889,0.886,8653.000
2,0.167,0.198,0.181,737.000
3,0.151,0.150,0.151,512.000
4,0.094,0.070,0.080,342.000
5,0.247,0.200,0.221,499.000
accuracy,0.748,0.748,0.748,0.748
macro avg,0.309,0.302,0.304,10743.000
weighted avg,0.745,0.748,0.746,10743.000
